Staging/tblnIoNrXu0xn7UJA.csv,collection,id,airtable_id,belongs_to_collection
,Алиса в стране чудес (Коллекция),198921.0,rec03TsPGIinhzXdh,
,Lavalantula Collection,439596.0,rec08jnrAH7YFOv6b,
,Kvartet I Collection,122776.0,rec0Ajv4Oq4PqV2r0,
,Pumpkinhead Collection,123256.0,rec0CBvPHHStldfu3,
,The Bride with White Hair Collection,192167.0,rec0FF3Ofb2sdu7dE,
,Tanu Weds Manu Collection,341455.0,rec0G1zY82SQMiuaF,
,Quatermass (Hammer series),123726.0,rec0MzAFtXa4EnFJr,
,Spud Collection,253537.0,rec0NBTR8b8JbLL9m,
,Young And Dangerous Collection,155408.0,rec0WdRzw17igbosA,
,Torchy Blane,393326.0,rec0XD6iHX64j3KZB,"Torchy Blane in Panama, Blondes at Work"
,Les Tuche,389544.0,rec0XY5LIbTnRGi7L,
,This is England Collection,376863.0,rec0ah2YljA8RKYpH,This Is England
,American Graffiti Collection,124950.0,rec0fCQYty8jsOOmo,
,Journey Collection,72547.0,rec0iyYGElMepkRmS,
,Mulan Collection,87236.0,rec0kkjw4UXPrkw8g,"Mulan II, Mulan"
,Hard Target Collection,412680.0,rec0owVbay5hCvnuL,
,"Crouching Tiger, Hidden Dragon Collection",290973.0,rec0pVvBRxGYxfZOS,
,City Slickers Collection,150156.0,rec0r2Xcy35gw3Vcy,"City Slickers, City Slickers II: The Legend of Curly's Gold"
,Die Kirche bleibt im Dorf Collection,380160.0,rec0salJRDuUiY4mz,
,King Kong (1933 series),135495.0,rec16olhQsstICoGi,
,Зимняя Вишня (трилогия),142686.0,rec19cp7Bl0cuTCTe,
,Dragon Ball Z OVA Collection,425189.0,rec19sWDdSuY64VHr,Dragon Ball: Episode of Bardock
,Flatfoot Collection,10964.0,rec1AGOSOKbFmTFzu,"Flatfoot in Egypt, Flatfoot in Africa, Flatfoot in Hong Kong, The Knock Out Cop"
,Insidious Collection,228446.0,rec1DRsNrLvv6LApr,
,The Underdog Knight Collection,385719.0,rec1EN5P91ob3fyN0,
,Fanny Brice Collection,449750.0,rec1Iz6aUzU2plaN9,Funny Girl
,La Trilogie Marseillaise,156152.0,rec1KeTubO3kLInfx,
,Dhoom Series,44976.0,rec1MIeiJMa7A1jWy,Dhoom 2
,Trilogie,194752.0,rec1NyxuAusQh1Q1V,
,Critters Collection,10893.0,rec1OLB91x5gqJu87,"Critters 3, Critters 4, Critters 2"
,Bummer Collection,107461.0,rec1QD2Maf0V3RODK,
,FernGully Collection,19160.0,rec1WeNyRnczD7Sdh,FernGully: The Last Rainforest
,Gamera Films,161766.0,rec1WyfzXg193SpBY,
,Library Wars Collection,393328.0,rec1bvE2Bi0YCfvTI,
,Man of Marble/Iron Collection,457305.0,rec1by7cbzudhqNft,
,Never Back Down Collection,96676.0,rec1cxOaUASaq3aWZ,
,The Modesty Blaise Collection,113635.0,rec1d5fZAicJS412m,
,The Angrez Collection,427397.0,rec1dzaf0AXX9H70c,The Angrez
,Fifty Shades Collection,344830.0,rec1eApkCT25AEOTY,
,Philo & Clyde Collection,168182.0,rec1lDkPvJVXh3JKN,"Any Which Way You Can, Every Which Way But Loose"
,All for ...,216435.0,rec1m0rovpUa4PbO2,
,Paranormal Investigations Collection,294918.0,rec1mAdwLSbfpSC79,
,Manuale d'amore - Collezione,259363.0,rec1qp8xnu1Y1XstY,
,Gamma One Collection,413946.0,rec1tGzGDhtjFYe4G,
,Piranha Collection,212279.0,rec1teYglPBlmS5yx,
,Lezioni di Cioccolato Collection,298187.0,rec1tkNGBiTlnuTX7,
,Leprechaun Collection (Original Series),19285.0,rec1uCfXunXXHKbLx,Leprechaun
,Save The Last Dance Collection,107469.0,rec1wFgMOsIBnhMp9,
,Takashi Miike's Black Society Trilogy,445332.0,rec1z5e9x1apKnQhI,
,The Lego Movie Collection,325470.0,rec210utAhOilKQtC,The Lego Movie
,Blair Witch Collection,64750.0,rec21F1quClyjeJq1,Book of Shadows: Blair Witch 2
,The Lord of the Rings Animated Collection,141290.0,rec23IVj95ReRVcID,"The Hobbit, The Return of the King, The Lord of the Rings"
,Havoc Collection,378268.0,rec2E4Fzm5zmGmpFc,Havoc
,Father and Guns Collection,417481.0,rec2GWfm6UuEcUjic,
,Trilogy Marseillaise,201260.0,rec2Ktog7XEXC0ocI,
,Dead Space Collection,56005.0,rec2L6adWNO7uyHMt,Dead Space: Downfall
,Napapiirin sankarit,461755.0,rec2MjmIJMVPokWOf,
,Magic Kid Collection,397848.0,rec2NcvievTX7JGXW,
,Peter Pan Collection,55422.0,rec2WbmTuTTsXzAqP,"Return to Never Land, Peter Pan"
,Nana Collection,284346.0,rec2ZdhvJuCycF8o6,
,Agent Cody Banks Collection,91427.0,rec2bgdBM7u14HMmo,"Agent Cody Banks 2: Destination London, Agent Cody Banks"
,The Water of the Hills,464784.0,rec2d8nyc8grrg3l8,
,The Benji Collection,424830.0,rec2do2ROF2k9JcyN,
,Captain America Collection,131295.0,rec2e7zabn1MXBk3r,Captain America: The Winter Soldier
,Hopalong Cassidy films,404136.0,rec2ecMvP9CfucInC,
,Wallace & Gromit Collection,529.0,rec2iROPfO9LJHzja,A Matter of Loaf and Death
,No Good Middle-Aged Yakuza Trilogy,456580.0,rec2ihZ2tIbloM5rD,
,The Ultimate Collection,269190.0,rec2j2rj5Mn3SDVRy,The Ultimate Gift
,Beach Party Collection,338327.0,rec2jlgoXKuNg88Sc,
,The 1997 Trilogy,456733.0,rec2m2RZEULZnoTUY,
,Species Collection,9887.0,rec2mKdvBTLC0GEl6,"Species: The Awakening, Species II"
,Fanthagirò Collection,173738.0,rec2nzFhw2GdGIiup,The Cave of the Golden Rose
,Batman (DC Universe Animated) Collection,421904.0,rec2vWHVBD4Y8hddX,"Batman & Mr. Freeze: SubZero, Batman: Mask of the Phantasm"
,Tokyo Decadence series,227147.0,rec2xb9efSReBwjvJ,Tokyo Decadence
,Bad Boys Collection,14890.0,rec33nQo0mCVKBmVD,
,The Exorcist Collection,12263.0,rec33zguj3sl1ozuY,"Dominion: Prequel to the Exorcist, Exorcist II: The Heretic, The Exorcist III, Exorcist: The Beginning"
,Kokowääh Filmreihe,215452.0,rec36W5ufQvpfmk4y,Kokowaah 2
,Tales From The Dark Collection,385709.0,rec36XsDnYbRFaeAJ,
,Major League Collection,97771.0,rec3CdoMsDiPZyUdU,Major League II
,My Little Pony: Equestria Girls Collection,343297.0,rec3FLD8ga5qEEcNA,
,The Huntsman Collection,393379.0,rec3GftlKksZakk8L,
,The Fast and the Furious Collection,9485.0,rec3I8mXnpwziT3Wj,"Furious 7, Fast & Furious"
,In China They Eat Dogs Collection,95891.0,rec3IeZke6eFDqoBo,Old Men in New Cars: In China They Eat Dogs II
,Tomb Raider Collection,2467.0,rec3JF7Wi8T4a9x3R,
,Night at the Museum Collection,85943.0,rec3L9oyx4SJsDpA9,Night at the Museum
,The Sister Street Fighter Collection,334563.0,rec3LV1KTgwhveqUF,
,The Streetfighter Collection,48829.0,rec3LXzFujjYjoAwJ,
,The Croods Collection,464577.0,rec3LoP2ctJGXcdf4,
,Art of the Devil Collection,220441.0,rec3Nm6tWVuQP8dLO,
,TekWar Collection,175763.0,rec3Q63G7YIglYTEq,"TekWar, TekWar: TekLords, TekWar: TekJustice, TekWar: TekLab"
,Burnt by the Sun Trilogy,23170.0,rec3QYhdS7CTS4yUQ,
,Berserk: Golden Age Arc,118415.0,rec3RwIHFRRTtpmsL,"Berserk: The Golden Age Arc 3 - The Advent, Berserk: The Golden Age Arc 2 - The Battle for Doldrey, Berserk: The Golden Age Arc 1 - The Egg of the King"
,Road House Collection,224976.0,rec3UkOpguhlu4ysT,Road House
,Asterix and Obelix Collection,2396.0,rec3VI2SWuTQrX9Yd,
,The Poseidon Adventure Collection,372257.0,rec3X7xCjrWSQinqq,
,Creature From The Black Lagoon (Universal Series),221537.0,rec3YdSy2eDYeZ4i1,Creature from the Black Lagoon
,Zanna Bianca Collection,283775.0,rec3crtwDNuLSyHLX,
,Hercules (Lou Ferrigno) Collection,314023.0,rec3dFtK5D11kYDci,
,식객 시리즈,347544.0,rec3dUka98PvWxhki,
,Bullit & Riper Collection,297299.0,rec3eoHFStbGm6TQG,Bullit & Ripper
,They Call Me Bruce Collection,315750.0,rec3fW3cABwGU6mlE,
,Naked Gun Collection,37139.0,rec3gDQMbQHQwlzkV,
,C.H.U.D. Collection,257571.0,rec3gvKpHkDL80x4N,
,Benvenuti al... Collection,150967.0,rec3j9r2Inq4agZB2,
,Ducobu Collection,148603.0,rec3mshDSBFR9ASlH,
,Sarah,,rec3w3ohKP3zJtHnt,"Skylark, ""Sarah, Plain and Tall"""
,Frosty the Snowman Collection,363015.0,rec3yobV9CrlSJ7Mj,Frosty the Snowman
,Big Momma's House Collection,44979.0,rec3zPXbfPBxh8xrf,Big Momma's House 2
,The Pink Panther (Original) Collection,937.0,rec40mK1STHQd7O7D,"A Shot in the Dark, The Pink Panther Strikes Again, The Return of the Pink Panther, Inspector Clouseau"
,Anaconda Collection,105995.0,rec421Z8O3mmPB9PO,"Anaconda 3: Offspring, Anacondas: The Hunt for the Blood Orchid"
,The Monkey King Collection,392206.0,rec42tAG0JO4bxG85,The Monkey King
,The Fugitive / U.S. Marshals Collection,134011.0,rec46uxIXsfjwqfaN,U.S. Marshals
,You Got Served Collection,353721.0,rec471LkwthGInirP,You Got Served
,The Dick Proenneke Collection,129293.0,rec473kRpGnPv39ir,Alone in the Wilderness
,The Dog Who Saved Christmas Collection,147765.0,rec49cilL1GbBQinC,
,The Emigrants Collection,308465.0,rec4ALp1ohBtoub6d,
,Carrie Collection,257053.0,rec4B2We6Nx0evGci,
,MVP,368982.0,rec4G4rYc4vAa5gN8,
,The Scorpion King Collection,116669.0,rec4HU80FlCMV3qWS,The Scorpion King: Rise of a Warrior
,The Hunger Games Collection,131635.0,rec4MqWB1OJHVjr2C,"The Hunger Games: Mockingjay - Part 1, The Hunger Games: Mockingjay - Part 2, The Hunger Games: Catching Fire"
,Charlotte's Web Collection,263193.0,rec4TrcKI8orBCDWf,Charlotte's Web
,Ringu Collection,93369.0,rec4Vj3iAe6c2Ct5x,
,Shrek Collection,2150.0,rec4eCYa3KwRzV1BG,Shrek Forever After
,The Discworld Collection,108502.0,rec4h65COT3MUbekZ,"The Colour of Magic, Hogfather"
,Síť (kolekce),328073.0,rec4knjuHBPnpRdVm,The Net
,Il Maresciallo Giraldi Collection,188138.0,rec4kvAADTw3Lr6md,
,Doraemon Collection,148065.0,rec4nIPeUrIxiuj44,
,Bambi Collection,87250.0,rec4nwAO55pDK6lyy,Bambi II
,The Cutlass Collection,285428.0,rec4ohAVxohyT30uh,
,Flatland Collection,425435.0,rec4qQWRI2KQdGT0B,
,Kim Possible Collection,148614.0,rec4qrttAtL0CilDA,
,The Love Comes Softly Collection,97919.0,rec4taMwRa4cho3P4,Love Comes Softly
,Mardock Scramble Collection,122661.0,rec4wygzrlRhR3s9i,Unnamed record
,Brice Collection,442352.0,rec4xgiHjXMzD5sGz,
,Tenchi Muyô Collection,199141.0,rec4zg6iMGRx6K2Dp,Tenchi Forever!
,A Chinese Ghost Story Collection,9046.0,rec54tyYpu4tF71F8,
,Charlie Chan (Roland Winters) Collection,413663.0,rec55O5PMBB6NXXWg,
,Poison Ivy Collection,48188.0,rec56rMGH7vC53KDV,
,The Female Prisoner Series,103190.0,rec571EFxsFVAJJoj,
,Charlie Chan (Sidney Toler) Collection,413661.0,rec5DT8wUjPKGOYxk,
,Outlaw Gangster VIP: The Complete Collection,427627.0,rec5E4Z6XvrL6PlAP,
,The Grudge Collection,1974.0,rec5EJGZ0KXKmqsn6,
,The Mummy Collection,1733.0,rec5GDrHi6mHm60wk,
,Dr. Dolittle Collection,3169.0,rec5IIPRCWaSX6smc,Dr. Dolittle 2
,Wayne's World Collection,8979.0,rec5IRXMdF6xjsoOG,
,Panda! Go Panda! Collección,211075.0,rec5Kf6FDVtNHtdJL,Panda! Go Panda!: Rainy Day Circus
,Silent Hill Collection,64748.0,rec5LhhtfOW6FQwQu,
,Düğün Dernek Collection,466388.0,rec5T9pllOm7zwHXO,
,Mortal Kombat Collection,9818.0,rec5TwxCsOKJsjaDN,
,Single White Female Collection,338282.0,rec5UYsidzc8pMjWb,
,Alienation Trilogy,441439.0,rec5d8FbHAVIPJ4dj,
,Ironclad Collection,259085.0,rec5dmwOstJizxSYJ,
,Planet of the Apes (Reboot) Collection,173710.0,rec5lla7JVHA342ee,Dawn of the Planet of the Apes
,Three Steps Above Heaven Collection,141649.0,rec5oGfV9iHphrf4p,I Want You
,Ada Apa Dengan Cinta? Collection,460357.0,rec5pSHg2VekM4EvQ,
,Сказки Чуковского,114916.0,rec5sJMVcZ1HSYUVa,
,Stakeout Collection,162028.0,rec5vu4sZWIFG71Ql,Stakeout
,Joe Dirt Collection,353325.0,rec5xD9K0CZmbT00E,Joe Dirt
,Attack on Titan Collection,370411.0,rec5yfFEJjaVJqVmq,
,"To Sir, with Love Collection",327598.0,rec5yilzcTqbDntrs,
,Barbie A Mermaid Tale Collection,422361.0,rec61rJPBvjG3HIuk,
,Design Trilogy,113679.0,rec64f3tjOUJLqjj9,Helvetica
,Oskar Luts Collection,146042.0,rec67GESUCtXr9RC3,"Summer, Autumn"
,Cyborg Collection,98853.0,rec681hWBt68B71hd,"Cyborg 2, Cyborg"
,The Man from U.N.C.L.E. Collection,435805.0,rec6DlxO7pcdUytpE,The Spy in the Green Hat
,Home Alone Collection,9888.0,rec6Lb0Dyc30MUdXw,"Home Alone: The Holiday Heist, Home Alone 4"
,Slap Shot Collection,261526.0,rec6PUxc5067fGWYa,"Slap Shot 3: The Junior League, Slap Shot"
,George of the Jungle Collection,126221.0,rec6QTVGCG4tYqIFR,George of the Jungle
,DMB Collection,197065.0,rec6QYycnHmUmWYYp,
,Garfield Collection,86115.0,rec6VRFiV0gnEtUPM,
,The Butterfly Effect Collection,52749.0,rec6WUCeyFBkIYcI6,"The Butterfly Effect 3: Revelations, The Butterfly Effect 2"
,Disney Buddies Collection,91657.0,rec6WXH8GCzUAojHB,"Super Buddies, Space Buddies, Snow Buddies"
,The Expendables Collection,126125.0,rec6aZvlLn8AMTufz,The Expendables 3
,Love Hina Collection,190135.0,rec6aheWnH54UWmPr,
,A Golden Christmas Collection,237444.0,rec6b5EyyQkttQaAx,Golden Christmas 2
,Family Guy Presents Collection,279244.0,rec6dCvNqz7hHC7t4,
,The Worricker Collection,260601.0,rec6fLL5XlGPTvinG,
,The Mask Collection,43072.0,rec6hOpeTfLFdcEm1,Son of the Mask
,Step Up Collection,86092.0,rec6ppFX8iUCyPwNI,
,Timecop Collection,170452.0,rec6s58qxbIp4rT8Q,
,Gor Collection,205145.0,rec6sVqqDD2BNp5tA,
,God's Not Dead Collection,409343.0,rec74y2FSCCZP3BPn,
